type, ringDim, setup, encryption, AddMany, Mult, total_time, value 
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 13, 0, 0, 30, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 17, 9, 0, 0, 26, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 18, 8, 0, 0, 26, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n8192-coef-sum, 2048, 17, 8, 0, 0, 25, 5
n10x8192-coef-sum, 2048, 25, 75, 5, 0, 105, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 78, 3, 0, 98, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 78, 3, 0, 98, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 74, 3, 0, 94, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 78, 3, 0, 98, 41
n10x8192-coef-sum, 2048, 18, 75, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 74, 3, 0, 94, 41
n10x8192-coef-sum, 2048, 21, 75, 3, 0, 99, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 77, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 18, 75, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 19, 75, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 77, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 23, 75, 3, 0, 101, 41
n10x8192-coef-sum, 2048, 20, 75, 3, 0, 98, 41
n10x8192-coef-sum, 2048, 21, 75, 3, 0, 99, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 20, 75, 3, 0, 98, 41
n10x8192-coef-sum, 2048, 17, 76, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 77, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 19, 75, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 22, 75, 3, 0, 100, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 18, 76, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 18, 75, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 77, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 77, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 21, 76, 3, 0, 100, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 18, 76, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 18, 75, 3, 0, 96, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 77, 3, 0, 97, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 75, 3, 0, 95, 41
n10x8192-coef-sum, 2048, 17, 74, 3, 0, 94, 41
