type, ringDim, setup, encryption, cMult, AddMany, total_time, value 
n50x8192-coef-inner, 2048, 16, 835, 694, 18, 1563, 134
n50x8192-coef-inner, 2048, 16, 754, 637, 19, 1426, 134
n50x8192-coef-inner, 2048, 16, 768, 642, 19, 1445, 134
n50x8192-coef-inner, 2048, 23, 788, 675, 19, 1505, 134
n50x8192-coef-inner, 2048, 16, 758, 649, 18, 1441, 134
n50x8192-coef-inner, 2048, 16, 756, 644, 18, 1434, 134
n50x8192-coef-inner, 2048, 16, 760, 640, 18, 1434, 134
n50x8192-coef-inner, 2048, 16, 753, 641, 19, 1429, 134
n50x8192-coef-inner, 2048, 16, 761, 646, 19, 1442, 134
n50x8192-coef-inner, 2048, 16, 759, 635, 18, 1428, 134
n50x8192-coef-inner, 2048, 16, 766, 652, 19, 1453, 134
n50x8192-coef-inner, 2048, 16, 756, 638, 19, 1429, 134
n50x8192-coef-inner, 2048, 17, 762, 640, 19, 1438, 134
n50x8192-coef-inner, 2048, 16, 764, 647, 19, 1446, 134
n50x8192-coef-inner, 2048, 16, 765, 653, 20, 1454, 134
n50x8192-coef-inner, 2048, 16, 752, 641, 19, 1428, 134
n50x8192-coef-inner, 2048, 16, 763, 663, 18, 1460, 134
n50x8192-coef-inner, 2048, 16, 755, 643, 18, 1432, 134
n50x8192-coef-inner, 2048, 16, 772, 665, 25, 1478, 134
n50x8192-coef-inner, 2048, 16, 757, 639, 19, 1431, 134
n50x8192-coef-inner, 2048, 16, 783, 668, 19, 1486, 134
n50x8192-coef-inner, 2048, 16, 754, 655, 18, 1443, 134
n50x8192-coef-inner, 2048, 16, 762, 662, 19, 1459, 134
n50x8192-coef-inner, 2048, 16, 780, 677, 19, 1492, 134
n50x8192-coef-inner, 2048, 17, 773, 645, 20, 1455, 134
n50x8192-coef-inner, 2048, 17, 758, 661, 19, 1455, 134
n50x8192-coef-inner, 2048, 16, 768, 643, 19, 1446, 134
n50x8192-coef-inner, 2048, 16, 759, 644, 19, 1438, 134
n50x8192-coef-inner, 2048, 16, 758, 638, 19, 1431, 134
n50x8192-coef-inner, 2048, 16, 759, 645, 19, 1439, 134
n50x8192-coef-inner, 2048, 22, 761, 645, 19, 1447, 134
n50x8192-coef-inner, 2048, 19, 777, 649, 19, 1464, 134
n50x8192-coef-inner, 2048, 16, 767, 636, 19, 1438, 134
n50x8192-coef-inner, 2048, 16, 760, 648, 19, 1443, 134
n50x8192-coef-inner, 2048, 17, 763, 640, 18, 1438, 134
n50x8192-coef-inner, 2048, 16, 756, 642, 18, 1432, 134
n50x8192-coef-inner, 2048, 16, 760, 644, 19, 1439, 134
n50x8192-coef-inner, 2048, 16, 763, 646, 23, 1448, 134
n50x8192-coef-inner, 2048, 16, 758, 640, 19, 1433, 134
n50x8192-coef-inner, 2048, 16, 764, 639, 19, 1438, 134
n50x8192-coef-inner, 2048, 23, 753, 716, 23, 1515, 134
n50x8192-coef-inner, 2048, 16, 758, 637, 19, 1430, 134
n50x8192-coef-inner, 2048, 17, 762, 637, 19, 1435, 134
n50x8192-coef-inner, 2048, 16, 757, 641, 19, 1433, 134
n50x8192-coef-inner, 2048, 16, 755, 638, 18, 1427, 134
n50x8192-coef-inner, 2048, 16, 760, 637, 18, 1431, 134
n50x8192-coef-inner, 2048, 19, 765, 642, 19, 1445, 134
n50x8192-coef-inner, 2048, 16, 754, 647, 18, 1435, 134
n50x8192-coef-inner, 2048, 16, 753, 637, 18, 1424, 134
n50x8192-coef-inner, 2048, 16, 758, 634, 18, 1426, 134
n50x8192-coef-inner, 2048, 20, 750, 667, 19, 1456, 134
n50x8192-coef-inner, 2048, 16, 777, 638, 18, 1449, 134
n50x8192-coef-inner, 2048, 18, 772, 653, 19, 1462, 134
